Feature,Importance
Feature_14,0.891613
Feature_12,0.030780602
Feature_17,0.026356926
Feature_1,0.024638902
Feature_9,0.004787087
Feature_2,0.0045659104
Feature_3,0.0036623196
Feature_4,0.0032669064
Feature_11,0.0019861255
Feature_19,0.0013447126
Feature_10,0.001335883
Feature_8,0.0011747404
Feature_21,0.00089629425
Feature_26,0.00079605036
Feature_25,0.00065048854
Feature_18,0.000566442
Feature_16,0.00047559288
Feature_24,0.00030926225
Feature_20,0.00027770252
Feature_15,0.00025677748
Feature_5,0.00011659046
Feature_7,0.00010568586
Feature_22,3.599856e-05
Feature_27,0.0
Feature_0,0.0
Feature_23,0.0
Feature_13,0.0
Feature_6,0.0
Feature_28,0.0
